t,signal
1.791667,-1.25968254
1.795833,-1.338412698
1.8,-1.25968254
1.804167,-1.102222222
1.808333,-0.944761905
1.8125,-0.944761905
1.816667,-1.25968254
1.820833,-1.25968254
1.825,-1.102222222
1.829167,-0.944761905
1.833333,-0.944761905
1.8375,-0.866031746
1.841667,-1.180952381
1.845833,-1.180952381
1.85,-1.180952381
1.854167,-1.102222222
1.858333,-1.023492063
1.8625,-1.102222222
1.866667,-1.338412698
1.870833,-1.338412698
1.875,-1.338412698
1.879167,-1.417142857
1.883333,-1.495873016
1.8875,-1.338412698
1.891667,-1.417142857
1.895833,-1.495873016
1.9,-1.495873016
1.904167,-1.417142857
1.908333,-1.338412698
1.9125,-1.417142857
1.916667,-1.574603175
1.920833,-1.495873016
1.925,-1.495873016
1.929167,-1.338412698
1.933333,-1.338412698
1.9375,-1.338412698
1.941667,-1.102222222
1.945833,-0.393650794
1.95,0.551111111
1.954167,1.25968254
1.958333,1.810793651
1.9625,1.338412698
1.966667,0.314920635
1.970833,0.078730159
1.975,-0.62984127
1.979167,-1.023492063
1.983333,-1.417142857
1.9875,-1.495873016
1.991667,-1.810793651
1.995833,-1.732063492
2,-1.574603175
2.004167,-1.417142857
2.008333,-1.417142857
2.0125,-1.417142857
2.016667,-1.495873016
2.020833,-1.417142857
2.025,-1.417142857
2.029167,-1.417142857
2.033333,-1.417142857
2.0375,-1.417142857
2.041667,-1.495873016
2.045833,-1.495873016
2.05,-1.495873016
2.054167,-1.338412698
2.058333,-1.338412698
2.0625,-1.25968254
2.066667,-1.495873016
2.070833,-1.338412698
2.075,-1.25968254
2.079167,-1.338412698
2.083333,-1.25968254
2.0875,-1.25968254
2.091667,-1.25968254
2.095833,-1.338412698
2.1,-1.338412698
2.104167,-1.25968254
2.108333,-1.180952381
2.1125,-1.102222222
2.116667,-1.102222222
2.120833,-1.102222222
2.125,-1.023492063
2.129167,-1.023492063
2.133333,-1.102222222
2.1375,-0.944761905
2.141667,-0.866031746
2.145833,-0.944761905
2.15,-0.787301587
2.154167,-0.708571429
2.158333,-0.551111111
2.1625,-0.551111111
2.166667,-0.551111111
2.170833,-0.551111111
2.175,-0.314920635
2.179167,-0.314920635
2.183333,-0.236190476
2.1875,-0.157460317
2.191667,-0.157460317
2.195833,-0.314920635
2.2,-0.236190476
2.204167,-0.157460317
2.208333,-0.078730159
2.2125,-0.078730159
2.216667,-0.236190476
2.220833,-0.314920635
2.225,-0.236190476
2.229167,-0.314920635
2.233333,-0.393650794
2.2375,-0.393650794
2.241667,-0.472380952
2.245833,-0.62984127
2.25,-0.787301587
2.254167,-0.787301587
2.258333,-0.866031746
2.2625,-0.866031746
2.266667,-1.102222222
2.270833,-1.180952381
2.275,-1.102222222
2.279167,-1.180952381
2.283333,-1.25968254
2.2875,-1.180952381
2.291667,-1.25968254
2.295833,-1.495873016
2.3,-1.495873016
2.304167,-1.495873016
2.308333,-1.417142857
2.3125,-1.417142857
2.316667,-1.574603175
2.320833,-1.574603175
2.325,-1.574603175
2.329167,-1.495873016
2.333333,-1.417142857
2.3375,-1.338412698
2.341667,-1.417142857
2.345833,-1.732063492
2.35,-1.653333333
2.354167,-1.495873016
2.358333,-1.338412698
2.3625,-1.338412698
2.366667,-1.495873016
2.370833,-1.574603175
2.375,-1.495873016
2.379167,-1.495873016
2.383333,-1.574603175
2.3875,-1.417142857
2.391667,-1.495873016
2.395833,-1.574603175
2.4,-1.574603175
2.404167,-1.495873016
2.408333,-1.417142857
2.4125,-1.417142857
2.416667,-1.574603175
2.420833,-1.574603175
2.425,-1.495873016
2.429167,-1.574603175
2.433333,-1.574603175
2.4375,-1.495873016
2.441667,-1.495873016
2.445833,-1.574603175
2.45,-1.653333333
2.454167,-1.574603175
2.458333,-1.574603175
2.4625,-1.495873016
2.466667,-1.574603175
2.470833,-1.574603175
2.475,-1.495873016
2.479167,-1.574603175
2.483333,-1.732063492
2.4875,-1.653333333
2.491667,-1.574603175
2.495833,-1.653333333
2.5,-1.653333333
2.504167,-1.732063492
2.508333,-1.574603175
2.5125,-1.495873016
2.516667,-1.574603175
2.520833,-1.653333333
2.525,-1.653333333
2.529167,-1.574603175
2.533333,-1.653333333
2.5375,-1.574603175
2.541667,-1.574603175
2.545833,-1.653333333
2.55,-1.653333333
2.554167,-1.574603175
2.558333,-1.495873016
2.5625,-1.574603175
2.566667,-1.653333333
2.570833,-1.653333333
2.575,-1.574603175
2.579167,-1.574603175
2.583333,-1.653333333
2.5875,-1.495873016
2.591667,-1.574603175
2.595833,-1.732063492
2.6,-1.732063492
2.604167,-1.732063492
2.608333,-1.574603175
2.6125,-1.574603175
2.616667,-1.732063492
2.620833,-1.653333333
2.625,-1.574603175
2.629167,-1.574603175
2.633333,-1.653333333
2.6375,-1.653333333
2.641667,-1.574603175
2.645833,-1.653333333
2.65,-1.732063492
2.654167,-1.653333333
2.658333,-1.574603175
2.6625,-1.495873016
2.666667,-1.653333333
2.670833,-1.653333333
2.675,-1.495873016
2.679167,-1.417142857
2.683333,-1.495873016
2.6875,-1.338412698
2.691667,-1.574603175
2.695833,-1.732063492
2.7,-1.417142857
2.704167,-1.25968254
2.708333,-1.102222222
2.7125,-1.180952381
2.716667,-1.417142857
2.720833,-1.495873016
2.725,-1.417142857
2.729167,-1.495873016
2.733333,-1.495873016
2.7375,-1.495873016
2.741667,-1.495873016
2.745833,-1.574603175
2.75,-1.653333333
2.754167,-1.653333333
2.758333,-1.653333333
2.7625,-1.653333333
2.766667,-1.732063492
2.770833,-1.810793651
2.775,-1.653333333
2.779167,-1.732063492
2.783333,-1.732063492
2.7875,-1.732063492
2.791667,-1.810793651
2.795833,-1.810793651
2.8,-1.810793651
2.804167,-1.732063492
2.808333,-1.574603175
2.8125,-1.495873016
2.816667,-1.25968254
2.820833,-0.472380952
2.825,0.708571429
2.829167,1.25968254
2.833333,1.338412698
2.8375,0.944761905
2.841667,0.078730159
2.845833,-0.157460317
2.85,-0.62984127
2.854167,-1.023492063
2.858333,-1.25968254
2.8625,-1.495873016
2.866667,-1.968253968
2.870833,-2.046984127
2.875,-1.732063492
2.879167,-1.574603175
2.883333,-1.574603175
2.8875,-1.574603175
2.891667,-1.653333333
2.895833,-1.732063492
2.9,-1.732063492
2.904167,-1.732063492
2.908333,-1.574603175
2.9125,-1.574603175
2.916667,-1.653333333
2.920833,-1.732063492
2.925,-1.574603175
2.929167,-1.495873016
2.933333,-1.574603175
2.9375,-1.495873016
2.941667,-1.495873016
2.945833,-1.653333333
2.95,-1.653333333
2.954167,-1.574603175
2.958333,-1.417142857
2.9625,-1.417142857
2.966667,-1.417142857
2.970833,-1.495873016
2.975,-1.417142857
2.979167,-1.417142857
2.983333,-1.495873016
2.9875,-1.417142857
2.991667,-1.25968254
2.995833,-1.417142857
3,-1.338412698
3.004167,-1.338412698
3.008333,-1.102222222
3.0125,-1.180952381
3.016667,-1.023492063
3.020833,-1.102222222
3.025,-1.023492063
3.029167,-0.944761905
3.033333,-0.866031746
3.0375,-0.787301587
3.041667,-0.62984127
3.045833,-0.708571429
3.05,-0.708571429
3.054167,-0.551111111
3.058333,-0.472380952
3.0625,-0.472380952
3.066667,-0.472380952
3.070833,-0.551111111
3.075,-0.472380952
3.079167,-0.472380952
3.083333,-0.551111111
3.0875,-0.472380952
3.091667,-0.472380952
3.095833,-0.62984127
3.1,-0.62984127
3.104167,-0.62984127
3.108333,-0.62984127
3.1125,-0.551111111
3.116667,-0.62984127
3.120833,-0.866031746
3.125,-0.944761905
3.129167,-0.944761905
3.133333,-1.023492063
3.1375,-1.102222222
3.141667,-1.102222222
3.145833,-1.338412698
3.15,-1.25968254
3.154167,-1.417142857
3.158333,-1.338412698
3.1625,-1.338412698
3.166667,-1.417142857
3.170833,-1.495873016
3.175,-1.495873016
3.179167,-1.495873016
3.183333,-1.574603175
3.1875,-1.653333333
3.191667,-1.574603175
3.195833,-1.653333333
3.2,-1.653333333
3.204167,-1.653333333
3.208333,-1.574603175
3.2125,-1.495873016
3.216667,-1.574603175
3.220833,-1.574603175
3.225,-1.574603175
3.229167,-1.495873016
3.233333,-1.574603175
3.2375,-1.653333333
3.241667,-1.495873016
3.245833,-1.574603175
3.25,-1.574603175
3.254167,-1.574603175
3.258333,-1.495873016
3.2625,-1.495873016
3.266667,-1.495873016
3.270833,-1.653333333
3.275,-1.574603175
3.279167,-1.495873016
3.283333,-1.574603175
3.2875,-1.574603175
3.291667,-1.495873016
3.295833,-1.653333333
3.3,-1.653333333
3.304167,-1.732063492
3.308333,-1.574603175
3.3125,-1.495873016
3.316667,-1.574603175
3.320833,-1.810793651
3.325,-1.732063492
3.329167,-1.810793651
3.333333,-1.732063492
3.3375,-1.574603175
3.341667,-1.495873016
3.345833,-1.732063492
3.35,-1.810793651
3.354167,-1.732063492
3.358333,-1.653333333
3.3625,-1.653333333
3.366667,-1.653333333
3.370833,-1.732063492
3.375,-1.653333333
3.379167,-1.653333333
3.383333,-1.810793651
3.3875,-1.574603175
3.391667,-1.495873016
3.395833,-1.653333333
3.4,-1.732063492
3.404167,-1.574603175
3.408333,-1.574603175
3.4125,-1.653333333
3.416667,-1.732063492
3.420833,-1.732063492
3.425,-1.810793651
3.429167,-1.653333333
3.433333,-1.653333333
3.4375,-1.653333333
3.441667,-1.495873016
3.445833,-1.732063492
3.45,-1.810793651
3.454167,-1.732063492
3.458333,-1.495873016
3.4625,-1.495873016
3.466667,-1.653333333
3.470833,-1.732063492
3.475,-1.653333333
3.479167,-1.574603175
3.483333,-1.653333333
3.4875,-1.732063492
3.491667,-1.574603175
3.495833,-1.732063492
3.5,-1.574603175
3.504167,-1.495873016
3.508333,-1.495873016
3.5125,-1.495873016
3.516667,-1.574603175
3.520833,-1.574603175
3.525,-1.417142857
3.529167,-1.417142857
3.533333,-1.338412698
3.5375,-1.338412698
3.541667,-1.338412698
3.545833,-1.495873016
3.55,-1.653333333
3.554167,-1.574603175
3.558333,-1.417142857
3.5625,-1.495873016
3.566667,-1.574603175
3.570833,-1.732063492
3.575,-1.653333333
3.579167,-1.732063492
3.583333,-1.810793651
3.5875,-1.653333333
3.591667,-1.574603175
3.595833,-1.732063492
3.6,-1.810793651
3.604167,-1.732063492
3.608333,-1.732063492
3.6125,-1.653333333
3.616667,-1.732063492
3.620833,-1.88952381
3.625,-1.810793651
3.629167,-1.653333333
3.633333,-1.653333333
3.6375,-1.653333333
3.641667,-0.944761905
3.645833,-0.314920635
3.65,0.62984127
3.654167,1.180952381
3.658333,1.417142857
3.6625,0.866031746
3.666667,0.314920635
3.670833,0
3.675,-0.708571429
3.679167,-1.25968254
3.683333,-1.495873016
3.6875,-1.653333333
3.691667,-1.88952381
3.695833,-2.046984127
3.7,-1.88952381
3.704167,-1.653333333
3.708333,-1.653333333
3.7125,-1.653333333
3.716667,-1.653333333
3.720833,-1.810793651
3.725,-1.810793651
3.729167,-1.732063492
3.733333,-1.653333333
3.7375,-1.653333333
3.741667,-1.574603175
3.745833,-1.732063492
3.75,-1.732063492
3.754167,-1.653333333
3.758333,-1.574603175
3.7625,-1.495873016
3.766667,-1.495873016
3.770833,-1.574603175
3.775,-1.653333333
3.779167,-1.574603175
3.783333,-1.574603175
3.7875,-1.495873016
3.791667,-1.417142857
3.795833,-1.417142857
3.8,-1.574603175
3.804167,-1.495873016
3.808333,-1.417142857
3.8125,-1.338412698
3.816667,-1.338412698
3.820833,-1.338412698
3.825,-1.25968254
3.829167,-1.180952381
3.833333,-1.180952381
3.8375,-1.102222222
3.841667,-1.023492063
3.845833,-1.102222222
3.85,-1.102222222
3.854167,-0.944761905
3.858333,-0.787301587
3.8625,-0.787301587
3.866667,-0.708571429
3.870833,-0.62984127
3.875,-0.62984127
3.879167,-0.551111111
3.883333,-0.472380952
3.8875,-0.472380952
3.891667,-0.314920635
3.895833,-0.472380952
3.9,-0.551111111
3.904167,-0.393650794
3.908333,-0.314920635
3.9125,-0.393650794
3.916667,-0.472380952
3.920833,-0.472380952
3.925,-0.62984127
3.929167,-0.551111111
3.933333,-0.551111111
3.9375,-0.62984127
3.941667,-0.62984127
3.945833,-0.787301587
3.95,-0.944761905
3.954167,-1.023492063
3.958333,-1.023492063
3.9625,-1.023492063
3.966667,-1.102222222
3.970833,-1.25968254
3.975,-1.338412698
3.979167,-1.338412698
3.983333,-1.25968254
3.9875,-1.338412698
3.991667,-1.25968254
3.995833,-1.417142857
4,-1.495873016
4.004167,-1.495873016
4.008333,-1.417142857
4.0125,-1.495873016
4.016667,-1.495873016
4.020833,-1.574603175
4.025,-1.574603175
4.029167,-1.574603175
4.033333,-1.574603175
4.0375,-1.495873016
4.041667,-1.417142857
4.045833,-1.495873016
4.05,-1.653333333
4.054167,-1.574603175
4.058333,-1.495873016
4.0625,-1.338412698
4.066667,-1.417142857
4.070833,-1.417142857
4.075,-1.495873016
4.079167,-1.417142857
4.083333,-1.417142857
4.0875,-1.417142857
4.091667,-1.338412698
4.095833,-1.495873016
4.1,-1.574603175
4.104167,-1.417142857
4.108333,-1.417142857
4.1125,-1.417142857
4.116667,-1.495873016
4.120833,-1.495873016
4.125,-1.495873016
4.129167,-1.574603175
4.133333,-1.574603175
4.1375,-1.495873016
4.141667,-1.338412698
4.145833,-1.574603175
4.15,-1.732063492
4.154167,-1.574603175
4.158333,-1.574603175
4.1625,-1.495873016
4.166667,-1.417142857
4.170833,-1.574603175
4.175,-1.495873016
4.179167,-1.495873016
4.183333,-1.495873016
4.1875,-1.495873016
4.191667,-1.417142857
4.195833,-1.495873016
4.2,-1.653333333
4.204167,-1.574603175
4.208333,-1.495873016
4.2125,-1.417142857
4.216667,-1.495873016
4.220833,-1.574603175
4.225,-1.574603175
4.229167,-1.495873016
4.233333,-1.495873016
4.2375,-1.495873016
4.241667,-1.495873016
4.245833,-1.653333333
4.25,-1.810793651
4.254167,-1.653333333
4.258333,-1.574603175
4.2625,-1.417142857
4.266667,-1.417142857
4.270833,-1.495873016
4.275,-1.495873016
4.279167,-1.495873016
4.283333,-1.495873016
4.2875,-1.495873016
4.291667,-1.417142857
4.295833,-1.574603175
4.3,-1.574603175
4.304167,-1.495873016
4.308333,-1.338412698
4.3125,-1.25968254
4.316667,-1.180952381
4.320833,-1.180952381
4.325,-1.338412698
4.329167,-1.417142857
4.333333,-1.338412698
4.3375,-1.25968254
4.341667,-1.023492063
4.345833,-1.023492063
4.35,-1.338412698
4.354167,-1.25968254
4.358333,-1.338412698
4.3625,-1.338412698
4.366667,-1.338412698
4.370833,-1.417142857
4.375,-1.495873016
4.379167,-1.495873016
4.383333,-1.574603175
4.3875,-1.574603175
4.391667,-1.495873016
4.395833,-1.574603175
4.4,-1.732063492
4.404167,-1.653333333
4.408333,-1.495873016
4.4125,-1.574603175
4.416667,-1.574603175
