t,signal
2.152,102.5083
2.154,102.62773
2.156,102.94315
2.158,102.65927
2.16,102.52158
2.162,102.46645
2.164,102.13536
2.166,102.33964
2.168,102.5207
2.17,102.56204
2.172,102.89619
2.174,102.80098
2.176,102.53487
2.178,102.50656
2.18,102.21569
2.182,102.18415
2.184,102.48422
2.186,102.517456
2.188,102.75768
2.19,102.90569
2.192,102.564926
2.194,102.5092
2.196,102.33829
2.198,102.084015
2.2,102.42152
2.202,102.492325
2.204,102.61012
2.206,102.92737
2.208,102.64701
2.21,102.512115
2.212,102.452965
2.214,102.11108
2.216,102.314445
2.218,102.496124
2.22,102.53451
2.222,102.862946
2.224,102.769295
2.226,102.50754
2.228,102.48512
2.23,102.19483
2.232,102.169556
2.234,102.47121
2.236,102.489365
2.238,102.723595
2.24,102.8825
2.242,102.54609
2.244,102.50002
2.246,102.34601
2.248,102.09876
2.25,102.42507
2.252,102.48873
2.254,102.6011
2.256,102.91385
2.258,102.63476
2.26,102.487656
2.262,102.41987
2.264,102.07457
2.266,102.277885
2.268,102.46278
2.27,102.50811
2.272,102.83742
2.274,102.74352
2.276,102.48052
2.278,102.45823
2.28,102.16893
2.282,102.14318
2.284,102.45162
2.286,102.46746
2.288,102.71141
2.29,102.87451
2.292,102.537964
2.294,102.48691
2.296,102.32567
2.298,102.07419
2.3,102.402084
2.302,102.47259
2.304,102.59459
2.306,102.91128
2.308,102.629776
2.31,102.5012
2.312,102.45303
2.314,102.109886
2.316,102.31761
2.318,102.502
2.32,102.54008
2.322,102.872505
2.324,102.793755
2.326,102.53046
2.328,102.50468
2.33,102.21378
2.332,102.17678
2.334,102.4816
2.336,102.50746
2.338,102.752014
2.34,102.91454
2.342,102.58421
2.344,102.5356
2.346,102.388756
2.348,102.14469
2.35,102.48946
2.352,102.58059
2.354,102.70831
2.356,103.02405
2.358,102.739975
2.36,102.59859
2.362,102.542274
2.364,102.20031
2.366,102.40547
2.368,102.58989
2.37,102.62999
2.372,102.96809
2.374,102.899284
2.376,102.65023
2.378,102.64461
2.38,102.36503
2.382,102.32143
2.384,102.61368
2.386,102.626076
2.388,102.86806
2.39,103.04393
2.392,102.71141
2.394,102.647224
2.396,102.47499
2.398,102.21688
2.4,102.53904
2.402,102.60484
2.404,102.72006
2.406,103.03292
2.408,102.74474
2.41,102.59614
2.412,102.522026
2.414,102.17325
2.416,102.367874
2.418,102.544876
2.42,102.585594
2.422,102.91216
2.424,102.820724
2.426,102.53972
2.428,102.51031
2.43,102.21991
2.432,102.17142
2.434,102.468414
2.436,102.486435
2.438,102.72321
2.44,102.878944
2.442,102.538765
2.444,102.47459
2.446,102.30002
2.448,102.03824
2.45,102.37886
2.452,102.46793
2.454,102.592766
2.456,102.91252
2.458,102.6334
2.46,102.48558
2.462,102.41942
2.464,102.075195
2.466,102.275604
2.468,102.46348
2.47,102.50127
2.472,102.83212
2.474,102.76422
2.476,102.496956
2.478,102.45795
2.48,102.15449
2.482,102.11264
2.484,102.42145
2.486,102.46009
2.488,102.70784
2.49,102.88667
2.492,102.60121
2.494,102.6263
2.496,102.53839
2.498,102.35595
2.5,102.79421
2.502,102.98607
2.504,103.21538
2.506,103.66356
2.508,103.53605
2.51,103.53563
2.512,103.64346
2.514,103.481575
2.516,103.84504
2.518,104.20768
2.52,104.44257
2.522,104.88169
2.524,104.750404
2.526,104.40434
2.528,104.304596
2.53,103.87811
2.532,103.65307
2.534,103.749725
2.536,103.547516
2.538,103.50394
2.54,103.32827
2.542,102.72575
2.544,102.542015
2.546,102.35474
2.548,102.105034
2.55,102.43892
2.552,102.506966
2.554,102.62689
2.556,102.96024
2.558,102.70273
2.56,102.569
2.562,102.51669
2.564,102.18863
2.566,102.40175
2.568,102.59496
2.57,102.620186
2.572,102.93476
2.574,102.847755
2.576,102.580894
2.578,102.566574
2.58,102.29153
2.582,102.2459
2.584,102.54392
2.586,102.56371
2.588,102.794235
2.59,102.967735
2.592,102.6287
2.594,102.55932
2.596,102.392426
2.598,102.13873
2.6,102.47893
2.602,102.55878
2.604,102.675026
2.606,102.997826
2.608,102.712845
2.61,102.563835
2.612,102.50883
2.614,102.16753
2.616,102.371376
2.618,102.56843
2.62,102.60956
2.622,102.944244
2.624,102.875275
2.626,102.60755
2.628,102.58381
2.63,102.30629
2.632,102.2685
2.634,102.57976
2.636,102.61046
2.638,102.849594
2.64,103.01129
2.642,102.67877
2.644,102.6257
2.646,102.470695
2.648,102.21523
2.65,102.54607
2.652,102.62465
2.654,102.73962
2.656,103.07614
2.658,102.822464
2.66,102.673164
2.662,102.602455
2.664,102.26445
2.666,102.46374
2.668,102.66363
2.67,102.71536
2.672,103.05552
2.674,102.98456
2.676,102.721016
2.678,102.70857
2.68,102.43112
2.682,102.38687
2.684,102.71031
2.686,102.74288
2.688,102.97887
2.69,103.15654
2.692,102.82516
2.694,102.76632
2.696,102.61308
2.698,102.36554
2.7,102.71654
2.702,102.80763
2.704,102.938934
2.706,103.267166
2.708,102.99668
2.71,102.867714
2.712,102.82378
2.714,102.48946
2.716,102.69641
2.718,102.89777
2.72,102.953
2.722,103.296326
2.724,103.23359
2.726,102.97594
2.728,102.96308
2.73,102.687
2.732,102.647224
2.734,102.97691
2.736,103.01945
2.738,103.2571
2.74,103.42979
2.742,103.09123
2.744,103.03346
2.746,102.87199
2.748,102.620575
2.75,102.968346
2.752,103.05459
2.754,103.16949
2.756,103.50424
2.758,103.23648
2.76,103.0866
2.762,103.01577
2.764,102.664055
2.766,102.862335
2.768,103.05819
2.77,103.10072
2.772,103.43002
2.774,103.36361
2.776,103.07965
2.778,103.027916
2.78,102.729416
2.782,102.67912
2.784,102.97653
2.786,102.98977
2.788,103.19547
2.79,103.33985
2.792,102.988304
2.794,102.91947
2.796,102.7528
2.798,102.47802
2.8,102.784744
2.802,102.838135
2.804,102.93173
2.806,103.23388
2.808,102.93483
2.81,102.756355
2.812,102.67536
2.814,102.32336
2.816,102.52218
2.818,102.7107
2.82,102.733505
2.822,103.039
2.824,102.944824
2.826,102.66859
2.828,102.62894
2.83,102.33478
2.832,102.28352
2.834,102.577225
2.836,102.58655
2.838,102.80845
2.84,102.978935
2.842,102.63239
2.844,102.56135
2.846,102.398674
2.848,102.133026
2.85,102.46552
2.852,102.53989
2.854,102.650566
2.856,102.96915
2.858,102.69071
2.86,102.528854
2.862,102.4625
2.864,102.12855
2.866,102.33686
2.868,102.52373
2.87,102.55549
2.872,102.88416
2.874,102.815315
2.876,102.534065
2.878,102.50876
2.88,102.233185
2.882,102.19909
2.884,102.51591
2.886,102.53083
2.888,102.74376
2.89,102.920166
2.892,102.58743
2.894,102.51848
2.896,102.355644
2.898,102.08761
2.9,102.415215
2.902,102.50432
2.904,102.62434
2.906,102.954735
2.908,102.68519
2.91,102.53822
2.912,102.48412
2.914,102.13863
2.916,102.328224
2.918,102.52382
2.92,102.568
2.922,102.896736
2.924,102.83308
2.926,102.56171
2.928,102.53452
2.93,102.25169
2.932,102.207245
2.934,102.52783
2.936,102.54953
2.938,102.78322
2.94,102.95057
2.942,102.61427
2.944,102.544044
2.946,102.38528
2.948,102.13207
2.95,102.46627
2.952,102.54154
2.954,102.64258
2.956,102.96768
2.958,102.69897
2.96,102.53984
2.962,102.47652
2.964,102.14299
2.966,102.334305
2.968,102.53362
2.97,102.58002
2.972,102.90525
2.974,102.818886
2.976,102.54762
2.978,102.51962
2.98,102.2392
2.982,102.200455
2.984,102.51491
2.986,102.53393
2.988,102.760956
2.99,102.93483
2.992,102.5963
2.994,102.53577
2.996,102.38196
2.998,102.105255
3,102.42778
3.002,102.506615
3.004,102.62226
3.006,102.94108
3.008,102.66623
3.01,102.515144
3.012,102.46431
3.014,102.1224
3.016,102.30779
3.018,102.50353
3.02,102.54241
3.022,102.86317
3.024,102.78846
3.026,102.52461
3.028,102.502815
3.03,102.22065
3.032,102.16104
3.034,102.4739
3.036,102.50185
3.038,102.73895
3.04,102.91598
3.042,102.58088
3.044,102.52077
3.046,102.37447
3.048,102.10428
3.05,102.41899
3.052,102.49144
3.054,102.604004
3.056,102.9374
3.058,102.678314
3.06,102.52926
3.062,102.46062
3.064,102.11272
3.066,102.311584
3.068,102.507126
3.07,102.544655
3.072,102.874084
3.074,102.81049
3.076,102.53021
3.078,102.504364
3.08,102.22642
3.082,102.17499
3.084,102.49633
3.086,102.522125
3.088,102.749084
3.09,102.91872
3.092,102.57983
